Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,3050.9,18
"U.S. Drought (Spring-Summer 1991)","Drought",19910301,19910831,6107.4,0
"Oakland Firestorm (October 1991)","Wildfire",19911001,19911031,6699.0,25
"Severe Storms (March 1992)","Severe Storm",19920324,19920325,1592.5,0
"Hail, Tornadoes (April 1992)","Severe Storm",19920428,19920429,1889.7,0
"Severe Storms, Hail (June 1992)","Severe Storm",19920619,19920620,1481.1,0
"Hurricane Andrew (August 1992)","Tropical Cyclone",19920823,19920827,53460.0,61
"Hurricane Iniki (September 1992)","Tropical Cyclone",19920911,19920912,6138.0,7
"Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1300.9,26
"Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4916.3,19
"East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,10611.8,270
"Northern Plains and Ohio Valley Severe Weather (July 1993)","Severe Storm",19930708,19930710,1217.2,1
"Midwest Flooding (Summer 1993)","Flooding",19930627,19930815,40244.9,48
"Southeast Drought and Heat Wave (Summer 1993)","Drought",19930601,19930831,2415.2,16
"California Wildfires (Fall 1993)","Wildfire",19930901,19931130,2633.3,4
"Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1944.6,70
"Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5605.2,9
"Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1842.1,3
"Tropical Storm Alberto (July 1994)","Tropical Cyclone",19940707,19940710,1867.2,32
"Texas Flooding (October 1994)","Flooding",19941016,19941025,1870.0,19
"Western Fire Season (Summer-Fall 1994)","Wildfire",19940601,19941130,1355.9,0
"California Flooding (January-March 1995)","Flooding",19950101,19950331,4550.0,27
"South Plains Severe Weather (May 1995)","Severe Storm",19950505,19950507,9985.4,32
"Hurricane Erin (August 1995)","Tropical Cyclone",19950801,19950807,1547.0,6
"Hurricane Marilyn (September 1995)","Tropical Cyclone",19950915,19950917,3822.0,13
"Central, Southern and Northeast Drought/Heatwave (September 1995)","Drought",19950701,19950930,1761.8,872
"Hurricane Opal (October 1995)","Tropical Cyclone",19951004,19951006,8534.0,27
"Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5315.2,187
"Pacific Northwest Severe Flooding (February 1996)","Flooding",19960207,19960212,1784.7,9
"Southern Plains Drought (Spring-Summer 1996)","Drought",19960301,19960831,3170.9,0
"Hurricane Fran (September 1996)","Tropical Cyclone",19960905,19960908,8862.4,37
"West Coast Flooding (December 1996-January 1997)","Flooding",19970101,19970111,5189.3,36
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1681.6,67
"Northern Plains Flooding (Spring 1997)","Flooding",19970203,19970524,6323.6,11
