Ship To Country,Item ID,Amount
CAN,NSF127S16oz,123.19999999999999
CAN,Opal Polished White,122.5
CAN,AR-GREEN,120.0
CAN,TAG-033-R-1-003,110.25
CAN,PPMasher2,109.54
CAN,BB-30-T-Crush,107.94
CAN,BB-31-T-PurpleDrank,107.94
CAN,gotc32w,103.94
CAN,MB111,101.43
CAN,Ds36-1/16,101.26
CAN,CLAW11,100.0
CAN,Infini-V,100.0
CAN,KGTPl-006,99.9
CAN,KGTPl-008,99.9
CAN,KGTPl-009,99.9
CAN,KGTPl-010,99.9
CAN,KGTPl-011,99.9
CAN,KGTPl-012,99.9
CAN,rl-2202,98.6
CAN,TAG-033-R-1-051,98.0
CAN,MB018,96.6
CAN,MB071,96.6
CAN,AR-MintGreen,95.88
CAN,ABRBetterRingMandrel,94.95
CAN,MB077,93.58
CAN,TAG-033-R-1-040,91.0
CAN,TAG-033-R-1-066,91.0
CAN,855-007B,90.72
CAN,854-216,90.0
CAN,stumpsucker2,90.0
CAN,BB-12-T-HurricaneStrike,89.88
CAN,BB-32-T-BlueHoney,89.88
CAN,BB-44-T-GrapeApe,89.88
CAN,BB-45-T-PurpleSunshine,89.88
CAN,BB-46-T-BrownHoney,89.88
CAN,MB112,87.35
CAN,ttn-bbt-BlueRaspSur2,87.1
CAN,15842,86.85
CAN,855-031,85.0
CAN,VB1-00129-3InchExt,85.0
CAN,1556006,84.0
CAN,NCParrachiato,84.0
CAN,NS131,84.0
CAN,TAG-033-R-1-024,84.0
CAN,TAG-033-R-1-031,84.0
CAN,TAG-033-R-1-043,84.0
CAN,ggt-ump,84.0
CAN,GGJTOOLM14,80.0
CAN,M133,80.0
CAN,jm-tmwrr,79.9
CAN,JC-3M2FD-AC-4.5,78.75
CAN,mb0710,78.49000000000001
CAN,TAG-033-R-1-006,78.4
CAN,LF-sF,77.85
CAN,ns38,77.0
CAN,855-003BS,76.56
CAN,14206,75.0
CAN,BK158,75.0
CAN,DT-1-BunsenHolder,75.0
CAN,854-204,74.95
CAN,855-030,74.95
CAN,schr12,74.25
CAN,FD-821,72.0
CAN,FD-825,72.0
CAN,FD-826,72.0
CAN,purr-glass pack,71.57
CAN,HoMT-Yellow2,70.62
CAN,schr3,69.31
CAN,ns41,67.55
CAN,3Fwhite,67.5
CAN,sch22x3.2,67.47
CAN,Star Pliers,66.0
CAN,DT-3-HD-CellphoneStand,65.0
CAN,1556456,64.9
CAN,schr10,64.35
CAN,HoMT-Orange2,64.2
CAN,ggt-Ft02,64.0
CAN,ggt-mpult46,64.0
CAN,nsf139f,63.0
CAN,ns24,62.65
CAN,NSF13S16oz,61.65
CAN,LF-sL,61.35
CAN,MB155,60.37
CAN,854-218,60.0
CAN,JOS006,60.0
CAN,JOS008,60.0
CAN,ds1/16-33SamplePack2,59.95
CAN,indenttool,59.9
CAN,ggt-gsf,59.0
CAN,ns136,58.8
CAN,ns19,58.8
CAN,sch16x2.5,58.69
CAN,nsf13s,57.75
CAN,MB135,56.35
CAN,mb141,56.35
CAN,Opal Dust Black,56.0
CAN,AR-OpaqueGreen,55.92
CAN,JM-TM,55.92
CAN,GG-R-PurpleRainbow,55.3
CAN,DHGAtlas,55.0
CAN,GGT-MRSDel222,55.0
CAN,PCS409F,55.0
CAN,ggt-ttr,55.0
CAN,jc-xp50,55.0
CAN,jc-xp38,54.5
CAN,NSF45S16oz,54.0
CAN,ns58,54.0
CAN,855-002,52.95
CAN,MB0411,52.32
CAN,mb136,52.32
CAN,M135,52.0
CAN,M311,52.0
CAN,854-FST-BrassKnife,50.0
CAN,BM-GB-F-10,50.0
CAN,ggt-mccL,50.0
CAN,1556708,49.5
CAN,GG-R-EGPP-B,49.5
CAN,NS125,49.5
CAN,kg161,49.4
CAN,kg181,49.4
CAN,kg222,49.4
CAN,1556229,48.4
CAN,MB048,48.3
CAN,850-513,47.96
CAN,AR-NeonGreen,47.94
CAN,Ar-Blue-A,47.94
CAN,silvercoin,47.75
CAN,ns152,45.5
CAN,ind-1914b,45.15
CAN,1556653,45.0
CAN,cshear8,45.0
CAN,BB-ST-ColdWater,44.94
CAN,fpi4oz,44.52
CAN,MB054,44.27
CAN,850-512,44.0
CAN,ELVISOXBLOOD,44.0
CAN,N-Bluedreamlight,44.0
CAN,N-StrikingNight,44.0
CAN,elvislakegeneva104,44.0
CAN,850-526,43.95
CAN,gor2.5w,43.75
CAN,ns26,43.4
CAN,ns86,43.4
CAN,mc511475,42.9
CAN,NCNUBLUE,42.0
CAN,silver,41.9
CAN,nsf47s,40.95
CAN,3FB,40.68
CAN,2FBLK,40.5
CAN,3FBLK,40.5
CAN,NS106,40.5
CAN,MB021,40.25
CAN,854-309-6,40.0
CAN,854-708,40.0
CAN,DIAMOND SHEAR 6,40.0
CAN,DiamondSynthetic,40.0
CAN,GT772394,40.0
CAN,M146,40.0
CAN,M150,40.0
CAN,M23,40.0
CAN,M28,40.0
CAN,M29,40.0
